[judge-lab] 1/6 full-majority N=1699 p=0.4497 auroc=0.8070827617101101
[judge-lab] 2/6 thin-p05-majority N=984 p=0.0498 auroc=0.8025755756848194
[judge-lab] 3/6 thin-p02-majority N=954 p=0.0199 auroc=0.7889389248522376
[judge-lab] 4/6 full-conservative N=1699 p=0.6828 auroc=0.791902309513147
[judge-lab] 5/6 thin-p05-conservative N=567 p=0.0494 auroc=0.8170553935860059
[judge-lab] 6/6 thin-p02-conservative N=550 p=0.0200 auroc=0.8365660313712262
judge-lab seed=judge-bound-lab-v0 reps=2000 joined=1699 auroc_majority=0.8070827617101101
populations
pop_id                |    N | true_p |  auroc
----------------------+------+--------+-------
thin-p02-conservative |  50 |              ppi++-judge | 0.0200 | 0.6555 |   0.0435 | 0.4510
thin-p02-conservative | 100 |       srs-hypergeometric | 0.0200 | 1.0000 |   0.0573 | 0.3735
thin-p02-conservative | 100 |        rogan-gladen-boot | 0.0200 | 0.9875 |   0.6003 | 0.0605
thin-p02-conservative | 100 |       calibrated-fnr-fpr | 0.0200 | 1.0000 |   0.9858 | 0.0000
thin-p02-conservative | 100 | strat-judge-proportional | 0.0200 | 1.0000 |   0.1026 | 0.0000
thin-p02-conservative | 100 |   strat-judge-flag-heavy | 0.0200 | 1.0000 |   0.1333 | 0.0000
thin-p02-conservative | 100 |              ppi++-judge | 0.0200 | 0.8965 |   0.0401 | 0.6970
thin-p02-conservative | 200 |       srs-hypergeometric | 0.0200 | 0.9925 |   0.0411 | 0.8380
thin-p02-conservative | 200 |        rogan-gladen-boot | 0.0200 | 0.9925 |   0.5414 | 0.0630
thin-p02-conservative | 200 |       calibrated-fnr-fpr | 0.0200 | 1.0000 |   0.9147 | 0.0000
thin-p02-conservative | 200 | strat-judge-proportional | 0.0200 | 1.0000 |   0.0684 | 0.0430
thin-p02-conservative | 200 |   strat-judge-flag-heavy | 0.0200 | 1.0000 |   0.0721 | 0.0000
thin-p02-conservative | 200 |              ppi++-judge | 0.0200 | 0.9460 |   0.0357 | 0.9110
Frozen predicates
  J1 PASS: judge AUROC vs majority on the full 1,699 >= 0.80
  J2 FAIL: at p=0.02 and m=100 at least one calibrated/stratified estimator covers >= 0.95 AND has mean UCB below SRS-CP
  J3 FAIL: the human labels needed for UCB < 0.05 at p=0.02 drop by at least 2x versus SRS-CP for some valid estimator
all_pass=False
